journal,issn,cas_partition,quality_tier,source,note
EXPERIMENTAL AND APPLIED ACAROLOGY,0168-8162,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=2.2; eissn=1572-9702; url=https://www.iikx.com/sci/biology/12393.html
EXPERIMENTAL ANIMALS,1341-1357,Q1,,iikx biology api,CAS biology class; subclass=兽医学; IF2024=2.0; eissn=1881-7122; url=https://www.iikx.com/sci/biology/12400.html
Egyptian Journal of Aquatic Research,1687-4285,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=3.1; eissn=2090-3278; url=https://www.iikx.com/sci/biology/27351.html
Egyptian Journal of Biological Pest Control,1110-1768,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=2.5; eissn=2536-9342; url=https://www.iikx.com/sci/biology/12077.html
Emerging Microbes & Infections,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=7.0; eissn=2222-1751; url=https://www.iikx.com/sci/biology/20610.html
Emerging Topics in Life Sciences,2397-8554,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=6.0; eissn=2397-8562; url=https://www.iikx.com/sci/biology/28387.html
Environmental Technology & Innovation,2352-1864,Q1,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=7.3; eissn=2352-1864; url=https://www.iikx.com/sci/biology/20871.html
Epigenetics & Chromatin,N/A,Q1,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=4.4; eissn=1756-8935; url=https://www.iikx.com/sci/biology/17943.html
Essays in Biochemistry,0071-1365,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=5.7; eissn=1744-1358; url=https://www.iikx.com/sci/biology/12242.html
Evolution Letters,N/A,Q1,,iikx biology api,CAS biology class; subclass=进化生物学; IF2024=4.3; eissn=2056-3744; url=https://www.iikx.com/sci/biology/25312.html
Expert Opinion on Drug Metabolism & Toxicology,1742-5255,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=4.5; eissn=1744-7607; url=https://www.iikx.com/sci/biology/33758.html
FASEB JOURNAL,0892-6638,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.3; eissn=1530-6860; url=https://www.iikx.com/sci/biology/12454.html
FEMS MICROBIOLOGY REVIEWS,0168-6445,Q1,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=16.9; eissn=1574-6976; url=https://www.iikx.com/sci/biology/12461.html
FISH & SHELLFISH IMMUNOLOGY,1050-4648,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=4.2; eissn=1095-9947; url=https://www.iikx.com/sci/biology/34058.html
FRESHWATER BIOLOGY,0046-5070,Q1,,iikx biology api,CAS biology class; subclass=生态学; IF2024=2.6; eissn=1365-2427; url=https://www.iikx.com/sci/biology/12579.html
FUNGAL DIVERSITY,1560-2745,Q1,,iikx biology api,CAS biology class; subclass=真菌学; IF2024=27.0; eissn=1878-9129; url=https://www.iikx.com/sci/biology/12605.html
Food & Function,2042-6496,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=6.3; eissn=2042-650X; url=https://www.iikx.com/sci/biology/25399.html
Forensic Science International-Genetics,1872-4973,Q1,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=3.6; eissn=1878-0326; url=https://www.iikx.com/sci/biology/12548.html
Frontiers in Cell and Developmental Biology,2296-634X,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=5.3; eissn=2296-634X; url=https://www.iikx.com/sci/biology/27520.html
Frontiers in Fungal Biology,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=4.3; eissn=2673-6128; url=https://www.iikx.com/sci/biology/70353.html
Frontiers in Marine Science,N/A,Q1,,iikx biology api,CAS biology class; subclass=海洋与淡水生物学; IF2024=3.4; eissn=2296-7745; url=https://www.iikx.com/sci/biology/33498.html
Frontiers in Microbiology,N/A,Q1,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=5.8; eissn=1664-302X; url=https://www.iikx.com/sci/biology/18650.html
Frontiers in Plant Science,1664-462X,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=5.9; eissn=1664-462X; url=https://www.iikx.com/sci/biology/18651.html
Frontiers in Zoology,1742-9994,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=2.8; eissn=1742-9994; url=https://www.iikx.com/sci/biology/12584.html
Function,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=5.0; eissn=2633-8823; url=https://www.iikx.com/sci/biology/33217.html
Fungal Biology Reviews,1749-4613,Q1,,iikx biology api,CAS biology class; subclass=真菌学; IF2024=4.1; eissn=1878-0253; url=https://www.iikx.com/sci/biology/19205.html
GENES & DEVELOPMENT,0890-9369,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=7.4; eissn=1549-5477; url=https://www.iikx.com/sci/biology/12644.html
GENETICS,0016-6731,Q1,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=6.5; eissn=1943-2631; url=https://www.iikx.com/sci/biology/12660.html
GENETICS SELECTION EVOLUTION,0999-193X,Q1,,iikx biology api,CAS biology class; subclass=奶制品与动物科学; IF2024=4.4; eissn=1297-9686; url=https://www.iikx.com/sci/biology/12665.html
GENOME BIOLOGY,1474-760X,Q1,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=9.2; eissn=1474-760X; url=https://www.iikx.com/sci/biology/12668.html
GENOME RESEARCH,1088-9051,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=6.3; eissn=1549-5469; url=https://www.iikx.com/sci/biology/12670.html
GENOMICS PROTEOMICS & BIOINFORMATICS,1672-0229,Q1,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=7.2; eissn=2210-3244; url=https://www.iikx.com/sci/other/19545.html
GM Crops & Food-Biotechnology in Agriculture and the Food Chain,2164-5698,Q1,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=4.3; eissn=2164-5701; url=https://www.iikx.com/sci/biology/19604.html
Genes & Diseases,2352-4820,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=14.6; eissn=2352-3042; url=https://www.iikx.com/sci/biology/23032.html
Genes and Diseases,2352-4820,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=14.6; eissn=2352-3042; url=https://www.iikx.com/sci/biology/66584.html
Genome Medicine,1756-994X,Q1,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=10.8; eissn=1756-994X; url=https://www.iikx.com/sci/biology/18358.html
HARMFUL ALGAE,1568-9883,Q1,,iikx biology api,CAS biology class; subclass=海洋与淡水生物学; IF2024=4.1; eissn=1878-1470; url=https://www.iikx.com/sci/biology/12787.html
HISTOCHEMISTRY AND CELL BIOLOGY,0948-6143,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=2.9; eissn=1432-119X; url=https://www.iikx.com/sci/biology/12864.html
HISTORICAL BIOLOGY,1042-0940,Q1,,iikx biology api,CAS biology class; subclass=古生物学; IF2024=2.0; eissn=1563-5236; url=https://www.iikx.com/sci/biology/17812.html
Horticultural Plant Journal,2095-9885,Q1,,iikx biology api,CAS biology class; subclass=园艺; IF2024=7.1; eissn=2468-0141; url=https://www.iikx.com/sci/biology/34499.html
Human Reproduction Open,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=8.6; eissn=2399-3529; url=https://www.iikx.com/sci/biology/23068.html
IBIS,0019-1019,Q1,,iikx biology api,CAS biology class; subclass=鸟类学; IF2024=2.9; eissn=1474-919X; url=https://www.iikx.com/sci/biology/12935.html
ICHNOS-AN INTERNATIONAL JOURNAL FOR PLANT AND ANIMAL TRACES,1042-0940,Q1,,iikx biology api,CAS biology class; subclass=古生物学; IF2024=2.0; eissn=1563-5236; url=https://www.iikx.com/sci/biology/12941.html
INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,0965-1748,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.3; eissn=1879-0240; url=https://www.iikx.com/sci/biology/13222.html
INSECT MOLECULAR BIOLOGY,0962-1075,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.3; eissn=1365-2583; url=https://www.iikx.com/sci/biology/13224.html
INTEGRATIVE AND COMPARATIVE BIOLOGY,1540-7063,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=2.4; eissn=1557-7023; url=https://www.iikx.com/sci/biology/13237.html
INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,0141-8130,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=8.7; eissn=1879-0003; url=https://www.iikx.com/sci/biology/13304.html
INVERTEBRATE SYSTEMATICS,1445-5226,Q1,,iikx biology api,CAS biology class; subclass=进化生物学; IF2024=2.2; eissn=1447-2600; url=https://www.iikx.com/sci/biology/13583.html
Insect Conservation and Diversity,1752-458X,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=3.3; eissn=1752-4598; url=https://www.iikx.com/sci/biology/13223.html
Insect Science,1672-9609,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=3.7; eissn=1744-7917; url=https://www.iikx.com/sci/biology/13225.html
Insect Systematics and Diversity,N/A,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=2.3; eissn=2399-3421; url=https://www.iikx.com/sci/biology/37128.html
Integrative Organismal Biology,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=2.0; eissn=2517-4843; url=https://www.iikx.com/sci/biology/36339.html
Integrative Zoology,1749-4877,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=3.7; eissn=1749-4869; url=https://www.iikx.com/sci/biology/13241.html
Interdisciplinary Sciences-Computational Life Sciences,1913-2751,Q1,,iikx biology api,CAS biology class; subclass=数学与计算生物学; IF2024=5.2; eissn=1867-1462; url=https://www.iikx.com/sci/biology/18693.html
Interface Focus,2042-8898,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=4.0; eissn=2042-8901; url=https://www.iikx.com/sci/biology/18112.html
International Journal of Biological Sciences,1449-2288,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=11.7; eissn=1449-2288; url=https://www.iikx.com/sci/biology/13306.html
International Review of Cell and Molecular Biology,1937-6448,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=0.0; eissn=; url=https://www.iikx.com/sci/biology/13559.html
JOURNAL OF APPLIED PHYCOLOGY,0921-8971,Q1,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=3.6; eissn=1573-5176; url=https://www.iikx.com/sci/biology/13778.html
JOURNAL OF AVIAN BIOLOGY,0908-8857,Q1,,iikx biology api,CAS biology class; subclass=鸟类学; IF2024=1.9; eissn=1600-048X; url=https://www.iikx.com/sci/biology/13817.html
JOURNAL OF CELLULAR PHYSIOLOGY,0021-9541,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=4.0; eissn=1097-4652; url=https://www.iikx.com/sci/biology/13897.html
JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,0340-7594,Q1,,iikx biology api,CAS biology class; subclass=行为科学; IF2024=2.3; eissn=1432-1351; url=https://www.iikx.com/sci/biology/13976.html
JOURNAL OF ECONOMIC ENTOMOLOGY,0022-0493,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=2.5; eissn=1938-291X; url=https://www.iikx.com/sci/biology/14057.html
JOURNAL OF EXPERIMENTAL BIOLOGY,0022-0949,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=3.0; eissn=1477-9145; url=https://www.iikx.com/sci/biology/14137.html
JOURNAL OF EXPERIMENTAL BOTANY,0022-0957,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=6.5; eissn=1460-2431; url=https://www.iikx.com/sci/biology/14138.html
JOURNAL OF GREAT LAKES RESEARCH,0380-1330,Q1,,iikx biology api,CAS biology class; subclass=环境科学; IF2024=2.5; eissn=0380-1330; url=https://www.iikx.com/sci/biology/14224.html
JOURNAL OF HELMINTHOLOGY,0022-149X,Q1,,iikx biology api,CAS biology class; subclass=寄生虫学; IF2024=2.0; eissn=1475-2697; url=https://www.iikx.com/sci/biology/14244.html
JOURNAL OF HUMAN EVOLUTION,0047-2484,Q1,,iikx biology api,CAS biology class; subclass=进化生物学; IF2024=3.3; eissn=1095-8606; url=https://www.iikx.com/sci/biology/14261.html
JOURNAL OF INSECT CONSERVATION,1366-638X,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=2.2; eissn=1572-9753; url=https://www.iikx.com/sci/biology/14312.html
JOURNAL OF INSECT PHYSIOLOGY,0022-1910,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=2.6; eissn=1879-1611; url=https://www.iikx.com/sci/biology/14313.html
JOURNAL OF INSECT SCIENCE,N/A,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=2.3; eissn=1536-2442; url=https://www.iikx.com/sci/biology/14314.html
JOURNAL OF INVERTEBRATE PATHOLOGY,0022-2011,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=2.4; eissn=1096-0805; url=https://www.iikx.com/sci/biology/14334.html
JOURNAL OF LIPOSOME RESEARCH,0898-2104,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.7; eissn=1532-2394; url=https://www.iikx.com/sci/biology/14359.html
JOURNAL OF MAMMALIAN EVOLUTION,1064-7554,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=2.0; eissn=1573-7055; url=https://www.iikx.com/sci/biology/14375.html
JOURNAL OF NEMATOLOGY,0022-300X,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=2.0; eissn=2640-396X; url=https://www.iikx.com/sci/biology/14500.html
JOURNAL OF ORNITHOLOGY,2193-7192,Q1,,iikx biology api,CAS biology class; subclass=鸟类学; IF2024=1.7; eissn=2193-7206; url=https://www.iikx.com/sci/biology/13692.html
JOURNAL OF PEST SCIENCE,1612-4758,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=4.4; eissn=1612-4766; url=https://www.iikx.com/sci/biology/14631.html
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,1011-1344,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.0; eissn=1873-2682; url=https://www.iikx.com/sci/biology/14645.html
JOURNAL OF PHYCOLOGY,N/A,Q1,,iikx biology api,CAS biology class; subclass=海洋与淡水生物学; IF2024=4.3; eissn=1529-8817; url=https://www.iikx.com/sci/biology/14648.html
JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY,1138-7548,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=5.1; eissn=1877-8755; url=https://www.iikx.com/sci/biology/14667.html
JOURNAL OF PLANT GROWTH REGULATION,0721-7595,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=4.2; eissn=1435-8107; url=https://www.iikx.com/sci/biology/14679.html
JOURNAL OF PLANT PHYSIOLOGY,0176-1617,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=4.8; eissn=1618-1328; url=https://www.iikx.com/sci/biology/14683.html
JOURNAL OF STORED PRODUCTS RESEARCH,0022-474X,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=3.4; eissn=1879-1212; url=https://www.iikx.com/sci/biology/14804.html
JOURNAL OF THERMAL BIOLOGY,0306-4565,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=3.2; eissn=1879-0992; url=https://www.iikx.com/sci/biology/14989.html
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,0947-5745,Q1,,iikx biology api,CAS biology class; subclass=进化生物学; IF2024=3.0; eissn=1439-0469; url=https://www.iikx.com/sci/biology/15081.html
JOURNAL OF ZOOLOGY,0952-8369,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=2.0; eissn=1469-7998; url=https://www.iikx.com/sci/biology/15082.html
Journal of Biological Engineering,1754-1611,Q1,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=6.3; eissn=1754-1611; url=https://www.iikx.com/sci/biology/19009.html
Journal of Comparative Physiology B-Biochemical Systems and Environmental Physiology,0174-1578,Q1,,iikx biology api,CAS biology class; subclass=生理学; IF2024=2.0; eissn=1432-136X; url=https://www.iikx.com/sci/biology/13977.html
Journal of Experimental Zoology Part A-Ecological Genetics and Physiology,1932-5223,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=1.9; eissn=; url=https://www.iikx.com/sci/biology/14147.html
Journal of Fungi,N/A,Q1,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=4.3; eissn=2309-608X; url=https://www.iikx.com/sci/biology/29720.html
Journal of Genetics and Genomics,1673-8527,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=7.9; eissn=1873-5533; url=https://www.iikx.com/sci/biology/14206.html
Journal of Integrative Plant Biology,1672-9072,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=12.5; eissn=1744-7909; url=https://www.iikx.com/sci/biology/14318.html
Journal of Ovarian Research,N/A,Q1,,iikx biology api,CAS biology class; subclass=生殖生物学; IF2024=5.3; eissn=1757-2215; url=https://www.iikx.com/sci/biology/18146.html
Journal of Plant Ecology,1752-9921,Q1,,iikx biology api,CAS biology class; subclass=生态学; IF2024=4.5; eissn=1752-993X; url=https://www.iikx.com/sci/biology/14678.html
Journal of Zhejiang University-SCIENCE B,1673-1581,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=5.7; eissn=1862-1783; url=https://www.iikx.com/sci/biology/15078.html
Lancet Microbe,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=21.9; eissn=2666-5247; url=https://www.iikx.com/sci/biology/20432.html
Life Sciences in Space Research,2214-5524,Q1,,iikx biology api,CAS biology class; subclass=天文与天体物理; IF2024=3.3; eissn=2214-5532; url=https://www.iikx.com/sci/biology/37402.html
Life-Basel,N/A,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=3.9; eissn=2075-1729; url=https://www.iikx.com/sci/biology/36247.html
Lipids in Health and Disease,N/A,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=6.9; eissn=1476-511X; url=https://www.iikx.com/sci/biology/15205.html
MAMMAL REVIEW,N/A,Q1,,iikx biology api,CAS biology class; subclass=生态学; IF2024=3.3; eissn=1365-2907; url=https://www.iikx.com/sci/biology/15261.html
MATRIX BIOLOGY,0945-053X,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=5.9; eissn=1569-1802; url=https://www.iikx.com/sci/biology/15364.html
MICROBIAL ECOLOGY,0095-3628,Q1,,iikx biology api,CAS biology class; subclass=生态学; IF2024=4.3; eissn=1432-184X; url=https://www.iikx.com/sci/biology/15480.html
MICROBIOLOGICAL RESEARCH,0944-5013,Q1,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=8.5; eissn=1618-0623; url=https://www.iikx.com/sci/biology/15482.html
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,1092-2172,Q1,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=11.8; eissn=1098-5557; url=https://www.iikx.com/sci/biology/15485.html
MITOCHONDRION,1567-7249,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=5.7; eissn=1872-8278; url=https://www.iikx.com/sci/biology/15533.html
MOLECULAR & CELLULAR PROTEOMICS,N/A,Q1,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=6.3; eissn=1535-9484; url=https://www.iikx.com/sci/biology/15545.html
MOLECULAR BIOLOGY AND EVOLUTION,0737-4038,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=6.4; eissn=1537-1719; url=https://www.iikx.com/sci/biology/15554.html
MOLECULAR CELL,1097-2765,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=16.0; eissn=1097-4164; url=https://www.iikx.com/sci/biology/15564.html
MOLECULAR ECOLOGY,0962-1083,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.7; eissn=1365-294X; url=https://www.iikx.com/sci/biology/15569.html
MOLECULAR HUMAN REPRODUCTION,1360-9947,Q1,,iikx biology api,CAS biology class; subclass=发育生物学; IF2024=4.2; eissn=1460-2407; url=https://www.iikx.com/sci/biology/15575.html
MOLECULAR PHYLOGENETICS AND EVOLUTION,1055-7903,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.0; eissn=1095-9513; url=https://www.iikx.com/sci/biology/15593.html
MOLECULAR PLANT-MICROBE INTERACTIONS,0894-0282,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.9; eissn=1943-7706; url=https://www.iikx.com/sci/biology/15597.html
MOLECULES AND CELLS,1016-8478,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=8.2; eissn=0219-1032; url=https://www.iikx.com/sci/biology/15605.html
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,1383-5742,Q1,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=6.5; eissn=1388-2139; url=https://www.iikx.com/sci/biology/15633.html
MYCOPATHOLOGIA,0301-486X,Q1,,iikx biology api,CAS biology class; subclass=真菌学; IF2024=4.1; eissn=1573-0832; url=https://www.iikx.com/sci/biology/15636.html
MYCORRHIZA,0940-6360,Q1,,iikx biology api,CAS biology class; subclass=真菌学; IF2024=4.0; eissn=1432-1890; url=https://www.iikx.com/sci/biology/15637.html
Marine Life Science & Technology,2096-6490,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=5.7; eissn=2662-1746; url=https://www.iikx.com/sci/biology/33698.html
Microbial Biotechnology,1751-7915,Q1,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=6.7; eissn=1751-7915; url=https://www.iikx.com/sci/biology/18170.html
Microbial Genomics,2057-5858,Q1,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=4.5; eissn=2057-5858; url=https://www.iikx.com/sci/biology/33822.html
Microbiome,2049-2618,Q1,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=14.9; eissn=2049-2618; url=https://www.iikx.com/sci/biology/19282.html
Mobile DNA,1759-8753,Q1,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=4.2; eissn=1759-8753; url=https://www.iikx.com/sci/biology/18794.html
Molecular Ecology Resources,1755-098X,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=5.9; eissn=1755-0998; url=https://www.iikx.com/sci/biology/15570.html
Molecular Horticulture,2730-9401,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=10.0; eissn=2730-9401; url=https://www.iikx.com/sci/biology/81083.html
Molecular Plant,1674-2052,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=32.7; eissn=1752-9867; url=https://www.iikx.com/sci/biology/15595.html
Molecular Systems Biology,1744-4292,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=6.7; eissn=1744-4292; url=https://www.iikx.com/sci/biology/15601.html
Movement Ecology,2051-3933,Q1,,iikx biology api,CAS biology class; subclass=生态学; IF2024=4.0; eissn=2051-3933; url=https://www.iikx.com/sci/other/19591.html
MycoKeys,1314-4057,Q1,,iikx biology api,CAS biology class; subclass=真菌学; IF2024=4.1; eissn=1314-4049; url=https://www.iikx.com/sci/biology/19288.html
Mycosphere,2077-7000,Q1,,iikx biology api,CAS biology class; subclass=真菌学; IF2024=19.9; eissn=2077-7019; url=https://www.iikx.com/sci/biology/19289.html
NATURE CELL BIOLOGY,1465-7392,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=22.7; eissn=1476-4679; url=https://www.iikx.com/sci/biology/15668.html
NATURE GENETICS,1061-4036,Q1,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=25.5; eissn=1546-1718; url=https://www.iikx.com/sci/biology/15671.html
NATURE METHODS,1548-7091,Q1,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=28.3; eissn=1548-7105; url=https://www.iikx.com/sci/biology/15676.html
NATURE REVIEWS GENETICS,1471-0056,Q1,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=51.4; eissn=1471-0064; url=https://www.iikx.com/sci/biology/15688.html
NATURE REVIEWS MICROBIOLOGY,1740-1526,Q1,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=104.6; eissn=1740-1534; url=https://www.iikx.com/sci/biology/15690.html
NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=118.0; eissn=1471-0080; url=https://www.iikx.com/sci/biology/15691.html
NATURE STRUCTURAL & MOLECULAR BIOLOGY,1545-9993,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=10.1; eissn=1545-9985; url=https://www.iikx.com/sci/biology/18185.html
NEW PHYTOLOGIST,0028-646X,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=8.7; eissn=1469-8137; url=https://www.iikx.com/sci/biology/15824.html
NUCLEIC ACIDS RESEARCH,0305-1048,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=15.0; eissn=1362-4962; url=https://www.iikx.com/sci/biology/15884.html
Nature Chemical Biology,1552-4450,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=15.8; eissn=1552-4469; url=https://www.iikx.com/sci/biology/15669.html
Nature Ecology & Evolution,2397-334X,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=17.1; eissn=2397-334X; url=https://www.iikx.com/sci/biology/32022.html
Nature Microbiology,2058-5276,Q1,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=18.7; eissn=2058-5276; url=https://www.iikx.com/sci/biology/19526.html
Nature Plants,2055-026X,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=15.0; eissn=2055-0278; url=https://www.iikx.com/sci/biology/19292.html
Nature Protocols,1754-2189,Q1,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=18.4; eissn=1750-2799; url=https://www.iikx.com/sci/biology/15681.html
Neotropical Ichthyology,1679-6225,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=2.1; eissn=N/A; url=https://www.iikx.com/sci/biology/15714.html
Neurobiology of Language,2641-4368,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=3.7; eissn=2641-4368; url=https://www.iikx.com/sci/biology/70952.html
New Biotechnology,1871-6784,Q1,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=5.6; eissn=1876-4347; url=https://www.iikx.com/sci/biology/15815.html
New Microbes and New Infections,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=6.0; eissn=2052-2975; url=https://www.iikx.com/sci/biology/28529.html
Non-Coding RNA,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=4.2; eissn=2311-553X; url=https://www.iikx.com/sci/biology/32599.html
Non-coding RNA Research,2468-2160,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=5.6; eissn=2468-0540; url=https://www.iikx.com/sci/biology/30515.html
Oceanography and Marine Biology,0078-3218,Q1,,iikx biology api,CAS biology class; subclass=海洋与淡水生物学; IF2024=0.0; eissn=; url=https://www.iikx.com/sci/biology/15942.html
One Health Outlook,2524-4655,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=5.9; eissn=2524-4655; url=https://www.iikx.com/sci/biology/31483.html
